,Hand Used,Visual Distraction,Auditory Distraction,,Blocking Variable: Lighting Condition,,,,
0,Non-dominant,No distraction,No distraction,,"3 Levels: Dark, Dim, Bright",,,,
1,Dominant,Flashing colours,Low decibel distraction,,,,,,
-1,,,High decibel distraction,,,,,,
,,,,,,,,,
,,,,,,,,,
Lighting,Hand Used,Visual Distraction,Auditory Distraction,Reaction Speed (ms),,,,,
,,,,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Average
Dim,0,0,0,248,214,215,298,241,243.2
Dim,0,0,-1,300,274,245,245,263,265.4
Dim,0,0,1,312,256,223,323,268,276.4
Dim,0,1,0,255,257,258,296,264,266
Dim,0,1,-1,291,236,215,271,260,254.6
Dim,0,1,1,348,244,206,320,266,276.8
Dim,1,0,0,265,208,239,222,240,234.8
Dim,1,0,-1,286,259,243,273,260,264.2
Dim,1,0,1,245,241,306,223,256,254.2
Dim,1,1,0,234,249,246,251,242,244.4
Dim,1,1,-1,288,325,255,289,223,276
Dim,1,1,1,270,254,298,263,257,268.4
Bright,0,0,0,269,267,255,250,276,263.4
Bright,0,0,-1,269,295,272,240,262,267.6
Bright,0,0,1,251,327,255,217,262,262.4
Bright,0,1,0,275,279,236,301,269,272
Bright,0,1,-1,270,284,304,272,275,281
Bright,0,1,1,332,253,286,272,279,284.4
Bright,1,0,0,242,255,259,267,256,255.8
Bright,1,0,-1,246,317,226,334,276,279.8
Bright,1,0,1,254,278,242,271,264,261.8
Bright,1,1,0,306,237,239,235,256,254.6
Bright,1,1,-1,302,252,247,242,270,262.6
Bright,1,1,1,337,308,274,255,286,292
Dark,0,0,0,288,261,249,382,292,294.4
Dark,0,0,-1,335,263,263,266,287,282.8
Dark,0,0,1,266,266,310,361,296,299.8
Dark,0,1,0,312,326,319,282,311,310
Dark,0,1,-1,278,298,307,341,310,306.8
Dark,0,1,1,332,358,251,261,291,298.6
Dark,1,0,0,292,279,269,272,277,277.8
Dark,1,0,-1,265,267,296,272,267,273.4
Dark,1,0,1,348,268,288,262,282,289.6
Dark,1,1,0,316,369,232,342,305,312.8
Dark,1,1,-1,316,304,267,309,297,298.6
Dark,1,1,1,329,312,354,260,281,307.2